127.0.0.1 - - [20/Jun/2023:20:35:35 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [20/Jun/2023:20:35:35 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [20/Jun/2023:20:35:35 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:20:35:35 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [20/Jun/2023:20:35:36 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [20/Jun/2023:20:35:36 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [20/Jun/2023:20:35:36 -0300] "GET /ProjetoTrilhaWeb/imgs/floco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:21:05:14 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:21:05:14 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:21:05:14 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:21:05:14 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:21:05:37 -0300] "GET /ExemploServlet/ HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2023:21:08:53 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:21:08:53 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:21:08:53 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [20/Jun/2023:21:08:54 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:21:08:54 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:21:08:54 -0300] "GET /ProjetoTrilhaWeb/imgs/floco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:21:18:30 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:21:18:30 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [20/Jun/2023:21:18:30 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
