127.0.0.1 - - [18/Sep/2023:20:07:50 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:51 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:51 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:51 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:51 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:51 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:51 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:51 -0300] "GET /ProjetoTrilhaWeb/imgs/floco.jpg HTTP/1.1" 200 36553
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:57 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:57 -0300] "GET /css/admin.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:57 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 5209
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:58 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:58 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:58 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:58 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:58 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 16770
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:07:58 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9331
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:08:10 -0300] "GET /css/admin.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:08:10 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 5209
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:08:10 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:08:10 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:08:10 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:08:14 -0300] "GET /css/admin.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:45:52 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:45:52 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9331
0:0:0:0:0:0:0:1 - - [18/Sep/2023:20:45:52 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 16770
0:0:0:0:0:0:0:1 - - [18/Sep/2023:21:04:09 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [18/Sep/2023:21:04:09 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9331
0:0:0:0:0:0:0:1 - - [18/Sep/2023:21:04:09 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 16770
